Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,Style_ID,TrimName
2.5l Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4J2EPRTR,2025,464084,4,4dr Car,Preferred-Trend
2.5t N-Line Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4M2DNL00,2025,464085,4,4dr Car,N Line Ultimate
2.5l Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,SOCS4K2EPRTR,2025,464086,4,4dr Car,Preferred-Trend
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPR00,2025,461913,4,Sport Utility,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPRTR,2025,461914,4,Sport Utility,Preferred
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EXR00,2025,461915,4,Sport Utility,XRT
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPM00,2025,478234,4,Sport Utility,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPMTM,2025,478235,4,Sport Utility,Preferred
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANLHE,2025,461941,4,Sport Utility,N-Line
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1AULHE,2025,461942,4,Sport Utility,Ultimate
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUPWDG1AULPH,2025,461940,4,Sport Utility,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FES00,2025,463352,4,Sport Utility,Essential
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FESTT,2025,463353,4,Sport Utility,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPR00,2025,463354,4,Sport Utility,Preferred
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPRTT,2025,463355,4,Sport Utility,Preferred
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FUL00,2025,463356,4,Sport Utility,Ultimate
