Description,Description2,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID
2.5l Preferred-Trend Awd,2.5L AWD,ALL_WHEEL_DRIVE,HYUNDAI,SOCS4K2EPRTR,2025,Preferred-Trend,4,464086,4dr Car
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPR00,2025,Preferred,4,461913,Sport Utility
Preferred Awd W/trend Package,AWD w/Trend Pkg,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPRTR,2025,Preferred,4,461914,Sport Utility
Xrt Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EXR00,2025,XRT,4,461915,Sport Utility
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPM00,2025,Preferred,4,478234,Sport Utility
Preferred Awd W/trend Package,AWD w/Trend Pkg,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPMTM,2025,Preferred,4,478235,Sport Utility
N-Line Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANLHE,2025,N-Line,4,461941,Sport Utility
Ultimate Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1AULHE,2025,Ultimate,4,461942,Sport Utility
Ultimate Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUPWDG1AULPH,2025,Ultimate,4,461940,Sport Utility
Essential Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FES00,2025,Essential,4,463352,Sport Utility
Essential Ivt W/two-Tone,IVT w/Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FESTT,2025,Essential,4,463353,Sport Utility
Preferred Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPR00,2025,Preferred,4,463354,Sport Utility
Preferred Ivt W/two-Tone,IVT w/Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPRTT,2025,Preferred,4,463355,Sport Utility
Ultimate Ivt W/black Interior,IVT w/Black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FUL00,2025,Ultimate,4,463356,Sport Utility
Ultimate Ivt W/denim Interior,IVT w/Denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FULCP,2025,Ultimate,4,463357,Sport Utility
Essential Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2026,Essential,4,481251,4dr Car
Preferred Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2026,Preferred,4,481252,4dr Car
Preferred Ivt W/tech Package,IVT w/Tech Pkg,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPRTE,2026,Preferred,4,481253,4dr Car
Luxury Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLU00,2026,Luxury,4,481254,4dr Car
Luxury Ivt W/two-Tone Interior,IVT w/Two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLUME,2026,Luxury,4,481255,4dr Car
N-Line Ultimate Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4U1ANLUL,2026,N Line Ultimate,4,481256,4dr Car
Luxury Sedan,Sedan,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHE,2026,Luxury,4,481260,4dr Car
Luxury Sedan W/two-Tone Interior,Sedan w/Two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHM,2026,Luxury,4,481261,4dr Car
Manual,Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANN00,2026,,4,480293,4dr Car
Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANN00,2026,,4,480294,4dr Car
Tcr Manual,Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANNTC,2026,TCR,4,480295,4dr Car
Tcr Dct,DCT,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANNTC,2026,TCR,4,480296,4dr Car
Preferred Rwd Long Range,RWD Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRLR,2026,Preferred,4,480462,Sport Utility
Preferred Awd Long Range,AWD Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLR,2026,Preferred,4,480463,Sport Utility
Preferred Awd Long Range W/ultimate Package,AWD Long Range w/Ultimate Pkg,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRUP,2026,Preferred,4,480464,Sport Utility
Essential Rwd,RWD,REAR_WHEEL_DRIVE,HYUNDAI,I9EW7ZE4ES00,2026,Essential,4,476069,Sport Utility
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE2PR00,2026,Preferred,4,476070,Sport Utility
Preferred Awd W/luxury Package,AWD w/Luxury Pkg,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE2PRLP,2026,Preferred,4,476071,Sport Utility
Preferred + Awd W/ultimate Calligraphy Package,AWD w/Ultimate Calligraphy Pkg,ALL_WHEEL_DRIVE,HYUNDAI,I9EW6ZE1PRBG,2026,Preferred +,4,476072,Sport Utility
Preferred + Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,I9EW7ZE1PR00,2026,Preferred +,4,477563,Sport Utility
2.0l Essential Fwd,2.0L FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2026,Essential,4,479275,Sport Utility
2.0l Preferred Fwd,2.0L FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2026,Preferred,4,479276,Sport Utility
2.0l Essential Awd,2.0L AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2026,Essential,4,479277,Sport Utility
2.0l Preferred Awd,2.0L AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2026,Preferred,4,479278,Sport Utility
2.0l Preferred Awd W/trend Package,2.0L AWD w/Trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2026,Preferred,4,479279,Sport Utility
1.6t N-Line Awd,1.6T AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2026,N Line,4,479280,Sport Utility
1.6t N-Line Awd W/two-Tone Roof,1.6T AWD w/Two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2026,N Line,4,479281,Sport Utility
1.6t N-Line Ultimate Awd,1.6T AWD,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2026,N Line Ultimate,4,479282,Sport Utility
1.6t N-Line Ultimate Awd W/two-Tone Roof,1.6T AWD w/Two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLBA,2026,N Line Ultimate,4,479283,Sport Utility
Preferred Fwd,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PR00,2026,Preferred,4,481446,Sport Utility
