Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,I614EAEME2AV,2023,436502,4,Preferred
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SAF20A100,2023,431335,4,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SAF20A200,2023,431336,4,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20A100,2023,431337,4,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20A200,2023,431338,4,Preferred
2.0l Preferred Awd W/sun & Leather Package,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SAA20A268,2023,431339,4,Preferred
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SDA16DO00,2023,431340,4,N Line
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SDA16DO66,2023,431341,4,N Line
1.6t N-Line Awd W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,,KO1SDA16DO20,2023,431342,4,N Line
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KE1SEFEME200,2023,431343,4,Preferred
Preferred Fwd W/two-Tone Roof,FRONT_WHEEL_DRIVE,HYUNDAI,,KE1SEFEME266,2023,431344,4,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KE1SEFEME400,2023,431345,4,Ultimate
2.0t Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,KO1SDF20DX39,2023,433444,4,
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,NX1SEFEMF200,2023,433881,4,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,NX1SEFEMF400,2023,433882,4,Ultimate
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B200,2023,430747,4,Preferred
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B477,2023,430748,4,Ultimate Calligraphy
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38B478,2023,430749,4,Ultimate Calligraphy
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38BY00,2023,430750,4,Urban
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,,PA1LAA38BY91,2023,430751,4,Urban
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZ1SDA25D200,2023,432747,4,Preferred
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZ1SDA25D241,2023,432748,4,Trend
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SZ1SDA25D400,2023,432749,4,Ultimate
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,,SZ1SDA25D495,2023,432750,4,Ultimate
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25B200,2023,431799,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25B241,2023,431800,4,Preferred
Urban Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25DY00,2023,431801,4,Urban
