Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName,engine_type
Luxury 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade Hybrid,PAHW7G2DLU7H,2026,480298,4,Luxury,hybrid
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade Hybrid,PAHW7G2DULCH,2026,480299,4,Ultimate Calligraphy,hybrid
Ultimate Calligraphy Nhl Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade Hybrid,PAHW7G2DULCH,2026,481523,4,Ultimate Calligraphy NHL Special Edition,hybrid
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW7G1APRHE,2026,480189,4,Preferred,hybrid
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW7G1APRTH,2026,480190,4,Preferred,hybrid
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW7G1ALUHE,2026,480191,4,Luxury,hybrid
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW6G1AULBG,2026,480192,4,Ultimate Calligraphy,hybrid
Ultimate Calligraphy Awd W/beige,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW6G1AULBH,2026,480193,4,Ultimate Calligraphy,hybrid
N-Line Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Sonata,SOCS4M2DNL00,2026,480134,4,N-Line,
Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,Sonata,SOCS4K2EPRTR,2026,480135,4,Preferred-Trend,
