Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID,TrimName
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DLU00,2025,Luxury,4,463286,Sport Utility,AWD
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBG,2025,Ultimate Calligraphy,4,463287,Sport Utility,AWD
Ultimate Calligraphy Awd W/beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBH,2025,Ultimate Calligraphy,4,463288,Sport Utility,AWD w/Beige Interior
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRHE,2025,Preferred,4,463289,Sport Utility,AWD
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRTH,2025,Preferred,4,463290,Sport Utility,AWD w/Trend Pkg
2.5l Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4J2EPRTR,2025,Preferred-Trend,4,464084,4dr Car,2.5L FWD
2.5t N-Line Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4M2DNL00,2025,N Line Ultimate,4,464085,4dr Car,2.5T FWD
2.5l Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,SOCS4K2EPRTR,2025,Preferred-Trend,4,464086,4dr Car,2.5L AWD
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPR00,2025,Preferred,4,461913,Sport Utility,AWD
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPRTR,2025,Preferred,4,461914,Sport Utility,AWD w/Trend Pkg
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EXR00,2025,XRT,4,461915,Sport Utility,AWD
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPM00,2025,Preferred,4,478234,Sport Utility,AWD
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPMTM,2025,Preferred,4,478235,Sport Utility,AWD w/Trend Pkg
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANLHE,2025,N-Line,4,461941,Sport Utility,AWD
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1AULHE,2025,Ultimate,4,461942,Sport Utility,AWD
